English Name,Chinese Name,Count
Furina,芙宁娜,17
Venti,温迪,12
Sandrone,桑多涅,12
Columbina,哥伦比娅,11
Rem,雷姆,10
Lumine,荧,9
Yae Miko,八重神子,7
Nick Wilde,尼克·王尔德,7
Flins,菲林斯,7
Nahida,纳西妲,6
Wanderer,流浪者,6
Judy Hopps,朱迪·霍普斯,6
Raiden Shogun,雷电将军,5
Kamisato Ayaka,神里绫华,5
Hu Tao,胡桃,5
Arlecchino,阿蕾奇诺,5
Varesa,瓦雷莎,5
Xiao,魈,4
Frieren,芙莉莲,4
Zhongli,钟离,4
Sangonomiya Kokomi,珊瑚宫心海,4
Ram,拉姆,4
Skirk,丝柯克,4
Lady Sun,孙尚香,4
Durin,杜林,4
Tartaglia,达达利亚,3
Lynette,琳妮特,3
Navia,娜维娅,3
Tighnari,提纳里,3
Aether,空,3
Ganyu,甘雨,2
Klee,可莉,2
Kaedehara Kazuha,枫原万叶,2
Kaveh,卡维,2
Sigewinne,希格雯,2
Himmel,辛美尔,2
Dyadia,少司缘,2
Ronova,若娜瓦,2
Varka,法尔伽,2
Qiqi,七七,2
Nefer,奈芙尔,2
Fischl,菲谢尔,2
Escofier,爱可菲,2
Emilia,爱蜜莉雅,2
Firefly,流萤,2
Li Bai,李白,2
Da Qiao,大乔,2
Shenhe,申鹤,1
Neuvillette,那维莱特,1
Lyney,林尼,1
Citlali,茜特菈莉,1
Mavuika,玛薇卡,1
Charlotte,夏洛蒂,1
Il Capitano,卡皮塔诺,1
Keqing,刻晴,1
Xiangling,香菱,1
Gazelle,夏奇羊,1
Fern,菲伦,1
Focalors,芙卡洛斯,1
Kamisato Ayato,神里绫人,1
Ororon,欧洛伦,1
Katheryne,凯瑟琳,1
Barbara,芭芭拉,1
Xingqiu,行秋,1
Wang Zhaojun,王昭君,1
Dahlia,塔利雅,1
Gaming,嘉明,1
Nicole,尼可,1
Yun Jin,云堇,1
Jahoda,雅珂达,1
Baizhu,白术,1
Illuga,叶洛亚,1
Zibai,兹白,1
Thoma,托马,1
Albedo,阿贝多,1
Alice,艾莉丝,1
Shirai Kuroko,白井黑子,1
Misaka Mikoto,御坂美琴,1
Layla,莱依拉,1
Kachina,卡齐娜,1
Alhaitham,艾尔海森,1
Ifa,伊法,1
Candace,坎蒂丝,1
Wriothesley,莱欧斯利,1
Cerydra,刻律德菈,1
Luban No.7,鲁班七号,1
March 7th,三月七,1
Gongsun Li,公孙离,1
Sun Quan,孙权,1
Caelus,穹,1
Acheron,黄泉,1
Hyacine,风堇,1
Zhuge Liang,诸葛亮,1
Huohuo,藿藿,1
Daji,妲己,1
Tribbie,缇宝,1
Kafka,卡芙卡,1
Silver Wolf,银狼,1
Evernight,长夜月,1
Rhinedottir,莱茵多特,1
